DayOfWeek,MaxPassengerCountN1,freqMaxPassengerCountN1,MaxPassengerCountN2,freqMaxPassengerCountN2,MaxPassengerCountN3,freqMaxPassengerCountN3,MaxTripDistanceN1,freqMaxTripDistanceN1,MaxTripDistanceN2,freqMaxTripDistanceN2,MaxTripDistanceN3,freqMaxTripDistanceN3,MaxExtraPaidN1,freqMaxExtraPaidN1,MaxExtraPaidN2,freqMaxExtraPaidN2,MaxExtraPaidN3,freqMaxExtraPaidN3,MaxTipPaidN1,freqMaxTipPaidN1,MaxTipPaidN2,freqMaxTipPaidN2,MaxTipPaidN3,freqMaxTipPaidN3,MaxTotalPaidN1,freqMaxTotalPaidN1,MaxTotalPaidN2,freqMaxTotalPaidN2,MaxTotalPaidN3,freqMaxTotalPaidN3,AvgPassengerCounter,AvgTripDistance,AvgTipPaid,AvgTotalPaid,RowEvaluated
WEEKEND,9.0,45,8.0,57,7.0,59,1061.2,1,302.8,1,301.9,1,81.92,1,69.8,2,30.5,1,411.5,1,411.0,1,410.0,1,349116.78,1,8019.6,1,8016.8,1,1.6535651842345107,2.9414114342796434,1.708401989778669,15.503861719901398,14623536
WEEKDAY,192.0,1,9.0,99,8.0,108,189483.84,1,943.5,1,910.8,1,96.64,1,66.66,7,60.0,1,496.0,1,441.71,1,441.11,1,234632.69,1,214750.23,1,200006.3,1,1.5798900972436682,2.8857341035803112,1.9260583358198353,16.388926024215593,39302199
