StoreForward,MaxPassengerCountN1,freqMaxPassengerCountN1,MaxPassengerCountN2,freqMaxPassengerCountN2,MaxPassengerCountN3,freqMaxPassengerCountN3,MaxTripDistanceN1,freqMaxTripDistanceN1,MaxTripDistanceN2,freqMaxTripDistanceN2,MaxTripDistanceN3,freqMaxTripDistanceN3,MaxExtraPaidN1,freqMaxExtraPaidN1,MaxExtraPaidN2,freqMaxExtraPaidN2,MaxExtraPaidN3,freqMaxExtraPaidN3,MaxTipPaidN1,freqMaxTipPaidN1,MaxTipPaidN2,freqMaxTipPaidN2,MaxTipPaidN3,freqMaxTipPaidN3,MaxTotalPaidN1,freqMaxTotalPaidN1,MaxTotalPaidN2,freqMaxTotalPaidN2,MaxTotalPaidN3,freqMaxTotalPaidN3,MaxTollPaidN1,freqMaxTollPaidN1,MaxTollPaidN2,freqMaxTollPaidN2,MaxTollPaidN3,freqMaxTollPaidN3,MaxTimeN1,freqMaxTimeN1,MaxTimeN2,freqMaxTimeN2,MaxTimeN3,freqMaxTimeN3,AvgPassengerCounter,AvgTripDistance,AvgTipPaid,AvgTotalPaid,AvgTollPaid,AvgTime,RowEvaluated
STORE_FORWARD,6.0,70,5.0,155,4.0,3689,152.9,1,121.6,1,111.3,1,4.5,967,1.5,2,1.0,35568,94.0,1,66.7,1,65.0,1,852.89,1,826.38,1,818.56,1,800.09,1,800.08,1,765.76,1,864.0,1,820.0,1,810.0,2,1.2314217863979484,2.9320806019070322,1.668178544985011,16.546850733196084,0.35791955610936543,-34.39140210206956,221496
NOT_STORE_FORWARD,192.0,1,9.0,144,8.0,165,189483.84,1,1061.2,1,943.5,1,96.64,1,81.92,1,69.8,2,496.0,1,441.71,1,441.11,1,349116.78,1,234632.69,1,214750.23,1,1650.0,1,980.8,1,950.7,1,8852.0,1,7041.0,1,5697.0,1,1.6013888587081553,2.900672924533946,1.867600060397467,16.130520199718312,0.3348877543912316,16.550844263895073,53704239
