Distance_Intervals,Fare_Amount_Intervals,MaxPassengerCountN1,freqMaxPassengerCountN1,MaxPassengerCountN2,freqMaxPassengerCountN2,MaxPassengerCountN3,freqMaxPassengerCountN3,MaxTripDistanceN1,freqMaxTripDistanceN1,MaxTripDistanceN2,freqMaxTripDistanceN2,MaxTripDistanceN3,freqMaxTripDistanceN3,MaxExtraPaidN1,freqMaxExtraPaidN1,MaxExtraPaidN2,freqMaxExtraPaidN2,MaxExtraPaidN3,freqMaxExtraPaidN3,MaxTipPaidN1,freqMaxTipPaidN1,MaxTipPaidN2,freqMaxTipPaidN2,MaxTipPaidN3,freqMaxTipPaidN3,MaxTotalPaidN1,freqMaxTotalPaidN1,MaxTotalPaidN2,freqMaxTotalPaidN2,MaxTotalPaidN3,freqMaxTotalPaidN3,MaxTollPaidN1,freqMaxTollPaidN1,MaxTollPaidN2,freqMaxTollPaidN2,MaxTollPaidN3,freqMaxTollPaidN3,MaxTimeN1,freqMaxTimeN1,MaxTimeN2,freqMaxTimeN2,MaxTimeN3,freqMaxTimeN3,AvgPassengerCounter,AvgTripDistance,AvgTipPaid,AvgTotalPaid,AvgTollPaid,AvgTime,RowEvaluated
TWOHUNDRED_PLUS,FIFTEEN_TWENTYFIVE,1.0,1,0.0,0,0.0,0,833.1,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,3.85,1,0.0,0,0.0,0,23.15,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,29.0,1,0.0,0,0.0,0,1.0,833.0999755859375,3.8499999046325684,23.149999618530273,0.0,29.0,1
TWO_FIVE,THREEHUNDRED_THOUSAND,3.0,4,2.0,7,1.0,24,4.9,1,4.87,1,4.8,1,1.0,1,0.5,2,0.0,32,90.24,2,77.82,2,50.08,1,995.3,1,680.8,1,673.3,1,10.5,2,0.0,33,0.0,0,625.0,1,43.0,1,25.0,1,1.4285714285714286,3.402571541922433,13.34857177734375,435.81311383928573,0.6,21.6,35
FIVE_TWENTY,THREEHUNDRED_THOUSAND,6.0,1,4.0,2,3.0,3,19.3,1,18.95,1,18.3,3,17.9,1,10.6,1,0.5,2,114.24,1,100.8,1,90.24,2,820.3,2,710.81,1,543.98,1,26.0,1,22.02,1,17.18,1,750.0,1,217.0,1,113.0,1,1.6,12.368222384982639,22.365333387586805,424.20399305555554,3.7155554877387154,38.577777777777776,45
TWENTY_TWOHUNDRED,THREEHUNDRED_THOUSAND,6.0,2,5.0,3,4.0,16,195.9,1,181.04,1,178.44,1,1.0,15,0.5,23,0.0,443,153.94,1,97.0,1,96.7,1,943.81,1,916.8,1,742.32,1,103.32,1,95.7,1,95.5,1,1437.0,1,1403.0,1,1194.0,1,1.4054054054054055,72.73661642411642,22.187881691787943,385.42431133056135,12.181206146049895,96.34511434511434,481
ZERO_TWO,TWO_FIVE,9.0,1,8.0,1,7.0,3,1.97,1,1.9,595,1.82,1,12.35,1,4.0,1,2.5,2,496.0,1,400.0,1,375.0,1,986.1,1,579.8,1,512.92,1,980.8,1,576.0,1,507.62,1,8852.0,1,5697.0,1,5539.0,1,1.5608291304078654,0.48190501713538436,0.6548518134842457,5.799621164256292,0.005654193921502257,3.8039518665738306,4716556
TWOHUNDRED_PLUS,THREEHUNDRED_THOUSAND,4.0,1,3.0,1,2.0,2,910.8,1,267.7,1,252.5,1,0.0,10,0.0,0,0.0,0,82.55,1,70.05,1,0.0,8,950.3,1,730.32,1,639.8,1,50.76,1,30.02,1,24.76,1,349.0,1,308.0,1,290.0,1,1.7,301.24501953125,15.260000610351563,548.627978515625,15.367999267578124,214.0,10
TWO_FIVE,TWO_FIVE,6.0,1,5.0,5,4.0,38,4.9,102,4.8,118,4.7,104,96.64,1,66.66,6,1.0,1270,220.0,1,156.07,1,146.0,1,222.3,1,159.37,1,149.8,1,60.0,1,57.0,1,24.0,1,744.0,1,733.0,1,723.0,2,1.0337444098116275,3.0251672292146634,1.0124123621510368,4.9547390610177535,0.06280255372615699,0.2862176446672991,7379
FIVE_TWENTY,TWO_FIVE,8.0,1,6.0,5,5.0,2,19.9,19,19.8,10,19.7,15,3.0,1,1.0,913,0.6,1,243.0,1,242.0,1,146.0,1,247.3,1,246.3,1,180.35,1,146.5,1,56.0,1,50.0,1,738.0,1,721.0,1,720.0,1,1.0229637603157518,10.521010635315752,1.505231459678866,5.484223627556513,0.22386260865878407,0.8448152134912091,5574
ZERO_TWO,TWENTYFIVE_FOURTY,6.0,72,5.0,172,4.0,232,1.99,23,1.98,24,1.97,28,1.8,1,1.0,980,0.8,1,110.0,1,88.8,1,66.66,1,895.72,1,800.32,1,139.3,1,860.92,1,771.52,1,95.76,1,1439.0,2,1438.0,4,1437.0,6,1.3747762408462165,0.36614729009865743,2.827158131611066,34.66294497558991,0.7483613773901546,18.91480878763222,12290
TWENTY_TWOHUNDRED,TWO_FIVE,5.0,2,4.0,3,3.0,5,87.1,1,84.0,1,78.0,1,1.0,72,0.5,151,0.0,207,170.0,1,141.2,1,131.0,1,173.8,1,145.0,1,141.35,1,113.0,1,99.0,1,12.5,1,86.0,1,83.0,1,57.0,1,1.027906976744186,25.790906613372094,2.873093148164971,7.218535383357558,0.615860482149346,0.8325581395348837,430
TWOHUNDRED_PLUS,TWO_FIVE,1.0,1,0.0,0,0.0,0,189483.84,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,4.0,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,189483.84375,0.0,4.0,0.0,1.0,1
TWO_FIVE,TWENTYFIVE_FOURTY,6.0,2811,5.0,4365,4.0,2404,4.99,476,4.98,502,4.97,501,1.0,24784,0.8,2,0.5,5410,288.4,1,119.58,1,100.0,1,4026.3,1,321.2,1,207.3,1,180.0,1,99.0,1,41.0,1,2158.0,1,2153.0,1,2149.0,1,1.6094290112997085,4.067907786825721,3.4069250656002787,31.977754001374944,0.13989669847231231,50.68884650018881,103277
FIVE_TWENTY,TWENTYFIVE_FOURTY,9.0,4,8.0,1,7.0,1,19.7,1,19.6,1,19.5,1,19.0,1,18.0,1,17.5,1,400.0,1,362.7,1,353.44,1,925.56,1,826.38,1,807.82,1,887.26,1,800.08,1,771.52,1,2158.0,1,2157.0,1,2155.0,2,1.62586132867103,9.337187486551365,4.792438146129963,39.28160318581966,2.3877957509044876,33.250743021738906,3043989
TWENTY_TWOHUNDRED,TWENTYFIVE_FOURTY,5.0,1,3.0,3,2.0,7,124.1,1,121.99,1,74.8,1,1.6,1,1.0,2,0.5,2,13.44,1,7.9,1,7.8,1,52.27,1,49.3,1,48.1,1,26.47,1,10.5,1,10.0,1,106.0,1,104.0,1,101.0,1,1.5151515151515151,33.71091160629735,2.2557576497395835,36.640909830729164,2.645151542894768,37.18181818181818,33
TWOHUNDRED_PLUS,TWENTYFIVE_FOURTY,1.0,2,0.0,0,0.0,0,606.0,1,204.6,1,0.0,0,0.0,2,0.0,0,0.0,0,5.25,1,0.0,1,0.0,0,89.0,1,31.55,1,0.0,0,5.76,1,0.0,1,0.0,0,31.0,1,0.0,1,0.0,0,1.0,405.29998779296875,2.625,60.275001525878906,2.880000114440918,15.5,2
ZERO_TWO,FIVE_TEN,192.0,1,9.0,48,8.0,63,1.99,29079,1.98,29778,1.97,30635,60.0,1,40.0,1,30.5,1,441.71,1,411.0,1,410.0,1,918.91,1,786.8,1,449.01,1,911.61,1,780.0,1,200.0,2,2158.0,5,2157.0,6,2156.0,9,1.5946018810817848,1.1301918616634665,1.0696304010587865,9.215350148078237,0.0010375366297013485,9.34053828880138,23045250
TWO_FIVE,FIVE_TEN,6.0,35497,5.0,61221,4.0,24045,4.99,1,4.9,2,4.8,6,66.66,1,1.3,4,1.0,110014,100.0,4,99.5,1,91.08,1,110.8,1,110.3,2,109.8,1,65.0,1,63.0,1,60.0,1,2152.0,1,2149.0,1,2144.0,1,1.5980117182337479,2.185583913822059,1.3902904324277117,11.608782415075266,0.010995079314674224,10.510368418734025,1293881
FIVE_TWENTY,FIVE_TEN,8.0,1,4.0,7,3.0,6,19.9,1,19.3,2,19.2,1,1.0,25,0.5,36,0.0,158,30.0,1,25.0,1,10.0,1,35.3,1,35.18,1,34.8,1,21.0,1,18.26,1,15.0,1,761.0,1,732.0,1,730.0,1,1.3196347031963471,10.004063436429794,0.7860273944732805,8.566530549907249,0.45333336259676443,21.19178082191781,219
TWENTY_TWOHUNDRED,FIVE_TEN,4.0,1,2.0,5,1.0,19,81.3,1,61.4,1,54.5,1,4.5,1,0.5,3,0.0,21,110.08,1,2.45,1,2.0,1,118.88,1,80.3,1,38.8,1,73.0,1,33.5,1,16.26,1,829.0,1,175.0,1,96.0,1,1.32,33.11760009765625,4.781600036621094,18.422401123046875,6.0215997314453125,64.6,25
ZERO_TWO,FOURTY_HUNDRED,9.0,41,8.0,44,7.0,72,1.99,34,1.98,25,1.97,24,5.3,2,4.8,1,4.54,1,322.42,1,276.08,1,243.0,1,852.89,1,552.88,1,380.98,1,800.09,1,500.08,1,130.0,1,7041.0,1,2132.0,1,2053.0,1,1.5187458209953195,0.1534480924087385,7.228476135893272,67.00096316107874,2.2801803738020188,5.54018212500398,125628
TWOHUNDRED_PLUS,FIVE_TEN,1.0,2,0.0,2,0.0,0,1061.2,1,830.8,1,801.4,1,1.0,2,0.0,2,0.0,0,2.05,1,1.8,1,0.0,2,25.82,1,12.35,1,9.1,1,0.0,4,0.0,0,0.0,0,12.0,1,9.0,1,5.0,1,0.5,740.949951171875,0.9624999761581421,14.017499923706055,0.0,6.5,4
TWO_FIVE,FOURTY_HUNDRED,9.0,2,8.0,1,7.0,1,4.99,37,4.98,36,4.97,36,4.5,3530,1.0,275,0.5,100,422.0,1,230.0,1,135.0,1,462.8,1,296.8,1,286.06,1,244.0,1,228.76,1,150.0,1,1439.0,1,1438.0,3,1437.0,5,1.4875546266387991,3.534193232828235,7.294600127066312,65.91480025650769,4.923713453591108,23.07505225156755,21052
FIVE_TWENTY,FOURTY_HUNDRED,9.0,29,8.0,30,7.0,33,19.99,815,19.98,832,19.97,875,20.2,1,17.5,4,6.52,3,415.0,1,355.0,1,345.0,1,1702.8,1,1003.5,1,996.1,1,1650.0,1,950.7,1,918.23,1,2156.0,2,2155.0,1,2152.0,1,1.6534243748084858,16.005167218860002,7.210180134032644,63.11365754354739,4.135545211152868,56.98833466423138,1739427
