VenderID,MaxPassengerCountN1,freqMaxPassengerCountN1,MaxPassengerCountN2,freqMaxPassengerCountN2,MaxPassengerCountN3,freqMaxPassengerCountN3,MaxTripDistanceN1,freqMaxTripDistanceN1,MaxTripDistanceN2,freqMaxTripDistanceN2,MaxTripDistanceN3,freqMaxTripDistanceN3,MaxExtraPaidN1,freqMaxExtraPaidN1,MaxExtraPaidN2,freqMaxExtraPaidN2,MaxExtraPaidN3,freqMaxExtraPaidN3,MaxTipPaidN1,freqMaxTipPaidN1,MaxTipPaidN2,freqMaxTipPaidN2,MaxTipPaidN3,freqMaxTipPaidN3,MaxTotalPaidN1,freqMaxTotalPaidN1,MaxTotalPaidN2,freqMaxTotalPaidN2,MaxTotalPaidN3,freqMaxTotalPaidN3,MaxTollPaidN1,freqMaxTollPaidN1,MaxTollPaidN2,freqMaxTollPaidN2,MaxTollPaidN3,freqMaxTollPaidN3,MaxTimeN1,freqMaxTimeN1,MaxTimeN2,freqMaxTimeN2,MaxTimeN3,freqMaxTimeN3,AvgPassengerCounter,AvgTripDistance,AvgTipPaid,AvgTotalPaid,AvgTollPaid,AvgTime,RowEvaluated
ONE,9.0,16,8.0,5,7.0,18,1061.2,1,943.5,1,910.8,1,96.64,1,81.92,1,69.8,2,400.0,1,389.0,1,375.0,1,349116.78,1,234632.69,1,214750.23,1,1650.0,1,980.8,1,950.7,1,1964.0,1,1519.0,1,1297.0,1,1.232199376594314,2.7728007050749266,1.8209632369547926,15.8028800422525,0.3098571823051575,13.26680366004764,23387018
TWO,192.0,1,9.0,128,8.0,160,189483.84,1,484.91,1,325.28,1,25.0,1,5.3,2,4.8,25,496.0,1,441.71,1,441.11,1,5726.3,1,4026.3,1,2694.8,1,244.0,1,159.0,1,143.0,1,8852.0,1,7041.0,1,5697.0,1,1.8815006532021412,2.998867879015168,1.902268332158291,16.431517847385795,0.35460707352439896,18.695340122435162,30536489
FOUR,3.0,1,2.0,2,1.0,2225,33.97,1,31.21,1,30.42,1,18.0,2,17.5,6,4.5,10,22.77,1,20.0,3,18.92,2,187.06,1,137.8,1,134.06,1,32.52,1,28.8,1,25.0,1,797.0,1,782.0,1,775.0,1,1.0017953321364452,3.40830744361535,2.332629986254488,18.878097999887792,0.5469479791993941,19.060143626570916,2228
